Date의 연도,원달러환율 (Seoul),코스피대비강남구주택매매가격지수,코스피대비경북집값,코스피대비서울집값,코스피대비송파구주택매매가격,코스피대비양천구주택매매가격,코스피대비은평구주택매매가격,코스피대비인천집값,코스피대비집값
2009,1273.9,,,13.175544628,,,,,
2009,1255,,,12.64761985,,,,,
2009,1228.5,,,12.399832391,,,,,
2009,1162.8,,,11.197734559,,,,,
2009,1182.5,,,10.051275617,,,,,
2009,1248.9,,,9.932955427,,,,,
2009,1164.5,,,9.661421208,,,,,
2009,1178.1,,,9.049878165,,,,,
2008,1469,,,22.989413815,,,,,
2008,1291,,,20.68249549,,,,,
2008,1259.5,,,20.29349753,,,,,
2008,1207,,,15.027426832,,,,,
2008,1089,,,12.614522735,,,,,
2008,1012.2,,,11.63505712,,,,,
2008,1046,,,6.348978149,,,,,
2008,990.4,,,3.951736655,,,,,
2008,1002.6,,,3.101241426,,,,,
2008,1030.1,,,2.794685975,,,,,
2008,939,,,1.418323541,,,,,
2008,943.9,,,-0.221612487,,,,,
2007,941,,,3.964426225,,,,,
2007,940.9,,,3.590772114,,,,,
2007,941.8,,,3.111244733,,,,,
2007,930.8,,,1.811386464,,,,,
2007,927.7,,,-0.567625282,,,,,
2007,923.8,,,-3.756415884,,,,,
2007,938.3,,,-4.533630906,,,,,
2007,936.1,,,-4.997407997,,,,,
2007,915.1,,,-5.690373309,,,,,
2007,921.1,,,-5.904486252,,,,,
2007,919.3,,,-7.281512668,,,,,
2007,900.7,,,-8.443057365,,,,,
2006,929.8,,,1.101828751,,,,,
2006,929.5,,,-1.535798779,,,,,
2016,1199.1,,,,,,3.461485550,,
2016,1236.7,,,,,,3.319798470,,
2016,1191.7,,,,,,1.74911636,,
2016,1143.5,,,,,,1.5156655,,
2016,1151.8,,,,,,1.50306581,,
2016,1169.1,,,,,,1.39085725,,
2016,1139.3,,,,,,1.04805059,,
2016,1120.2,,,,,,0.898042960,,
2016,1207.7,,,,,,0.441839090,,
2016,1144.5,,,,,,0.100458810,,
2016,1114.8,,,,,,0.085481820,,
2016,1101.3,,,,,,-0.054778880,,
2015,1185.3,,,,,,0.763364660,,
2015,1182.5,,,,,,0.455028850,,
2015,1172.5,,,,,,0.003817310,,
2015,1158.1,,,,,,-0.834180940,,
2015,1140.1,,,,,,-1.16201061,,
2015,1170,,,,,,-2.052547190,,
2015,1115.5,,,,,,-2.187102370,,
2015,1072.4,,,,,,-3.22312971,,
2015,1108.2,,,,,,-3.4045177,,
2014,1067.5,,,,,,-1.55265529,,
2014,1099.3,,,,,,-1.65250189,,
2014,1068.5,,,,,,-1.6731844,,
2014,1064.7,,,,,,-1.90211839,,
2014,1107.9,,,,,,-2.07375945,,
2014,1033.2,,,,,,-2.82355987,,
2014,1020.1,,,,,,-2.89345249,,
2014,1011.8,,,,,,-2.91603684,,
2014,1027.9,,,,,,-3.55481735,,
2014,1055.2,,,,,,-4.04834483,,
2014,1014,,,,,,-4.481488890,,
2013,1123.5,,,,,,-0.774588210,,
2013,1142,,,,,,-1.075078930,,
2013,1110,,,,,,-1.373430080,,
2013,1101,,,,,,-2.369994240,,
2013,1129.7,,,,,,-3.21559985,,
2013,1083,,,,,,-3.343974050,,
2013,1074.7,,,,,,-3.451903470,,
2013,1089,,,,,,-3.492555300,,
2013,1055.4,,,,,,-3.545569090,,
2013,1111,,,,,,-3.590975520,,
2013,1058.2,,,,,,-4.05882816,,
2013,1060.7,,,,,,-4.528582640,,
2012,1130,,,,,,1.485672250,,
2012,1145,,,,,,0.966232200,,
2012,1180,,,,,,0.068801450,,
2012,1123,,,,,,-0.041980730,,
2012,1082.9,,,,,,-0.367433100,,
2012,1134,,,,,,-0.705247430,,
2012,1090.7,,,,,,-1.258682870,,
2012,1111.4,,,,,,-1.712747170,,
2012,1070.6,,,,,,-2.011098320,,
2012,1130,,,,,,-2.53600616,,
2012,1118,,,,,,-2.70978679,,
2012,1133,,,,,,-3.189525930,,
2011,1178.1,,,,,,3.756745650,,
2011,1110,,,,,,2.926354760,,
2011,1143,,,,,,2.1437476,,
2011,1151,,,,,,2.038433210,,
2011,1066.8,,,,,,1.891516070,,
2011,1096.7,,,,,,-1.276473910,,
2011,1128.7,,,,,,-1.281228510,,
2011,1067.7,,,,,,-2.987416720,,
2011,1079.2,,,,,,-4.11021551,,
2011,1054.5,,,,,,-4.780376380,,
2011,1071.5,,,,,,-4.853359490,,
2010,1160,,,,,,8.15092392,,
2010,1202.5,,,,,,6.977964100,,
2010,1131.3,,,,,,6.569068500,,
2010,1161.8,,,,,,6.17301032,,
2010,1222.2,,,,,,5.940510380,,
2010,1108.4,,,,,,5.028815830,,
2010,1182.7,,,,,,5.009084240,,
2010,1198.1,,,,,,4.270694860,,
2010,1140.2,,,,,,2.997175250,,
2010,1125.3,,,,,,1.239161900,,
2010,1159.7,,,,,,0.406869170,,
2010,1134.8,,,,,,-1.4424325,,
2009,1534,,,,,,20.37772325,,
2009,1383.5,,,,,,20.36108215,,
2009,1379.5,,,,,,19.98261599,,
2009,1282,,,,,,16.0427167,,
2009,1273.9,,,,,,14.30395948,,
2009,1255,,,,,,14.1789135,,
2009,1228.5,,,,,,12.76370681,,
2009,1248.9,,,,,,9.961345570,,
2009,1162.8,,,,,,9.829167690,,
